,name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params,test_flops,train_flops
256,gfish,4,512,8,64,2048,182.068693504,183562474,46212880,182.068693504,546.4217868863203
257,gfish,4,512,8,64,4096,479.861246976,183562474,46212880,479.861246976,1442.2430924198318
258,gfish,4,512,8,64,8192,1418.087576064,183562474,46212880,1418.087576064,4266.951327354248
259,gfish,4,1024,8,128,128,20.015556736,391988458,117557008,20.015556736,59.89710342125044
260,gfish,4,1024,8,128,256,40.06744512,391988458,117557008,40.06744512,120.54435734440165
261,gfish,4,1024,8,128,512,81.760055552,391988458,117557008,81.760055552,244.5894362456291
262,gfish,4,1024,8,128,1024,175.828536832,391988458,117557008,175.828536832,527.3052682834659
263,gfish,4,1024,8,128,2048,409.242543616,391988458,117557008,409.242543616,1228.323303730057
264,gfish,4,1024,8,128,4096,1037.03190528,391988458,117557008,1037.03190528,3112.222529167126
265,gfish,4,1024,8,128,8192,2938.934367232,391988458,117557008,2938.934367232,8841.289816642346
266,gfish,4,2048,8,256,128,52.890849536,884337898,335742736,52.890849536,158.35109832650235
267,gfish,4,2048,8,256,256,105.80387072,884337898,335742736,105.80387072,317.95878461172197
268,gfish,4,2048,8,256,512,214.659465472,884337898,335742736,214.659465472,645.7072039172317
269,gfish,4,2048,8,256,1024,453.125676032,884337898,335742736,453.125676032,1362.816326905844
270,gfish,4,2048,8,256,2048,1018.201066496,884337898,335742736,1018.201066496,3054.699150056758
271,gfish,4,2048,8,256,4096,2460.6108672,884337898,335742736,2460.6108672,7384.329082838471
272,gfish,4,2048,8,256,8192,6599.903240192,884337898,335742736,6599.903240192,19817.195263367732
273,gfish,4,4096,8,512,128,157.2960608,2171026666,1074104080,157.2960608,472.1241024277949
274,gfish,4,4096,8,512,256,314.587093248,2171026666,1074104080,314.587093248,942.2355077319379
275,gfish,4,4096,8,512,512,635.068307968,2171026666,1074104080,635.068307968,1908.9031733712945
276,gfish,4,4096,8,512,1024,1316.965599744,2171026666,1074104080,1316.965599744,3962.5141122337627
277,gfish,4,4096,8,512,2048,2854.59340288,2171026666,1074104080,2854.59340288,8547.070350811668
278,gfish,4,4096,8,512,4096,6544.399372288,2171026666,1074104080,6544.399372288,19611.174240144715
279,gfish,4,4096,8,512,8192,16396.062148608,2171026666,1074104080,16396.062148608,49208.114960519706
280,gfish,6,256,8,32,128,3.902887168,89311210,20502544,3.902887168,11.70986490656558
281,gfish,6,256,8,32,256,7.894574592,89311210,20502544,7.894574592,23.722350961257355
282,gfish,6,256,8,32,512,16.514309888,89311210,20502544,16.514309888,49.61192619899126
283,gfish,6,256,8,32,1024,37.381523712,89311210,20502544,37.381523712,112.0725318932613
284,gfish,6,256,8,32,2048,94.256604928,89311210,20502544,94.256604928,282.6405045336413
285,gfish,6,256,8,32,4096,263.549074432,89311210,20502544,263.549074432,788.7516127826927
286,gfish,6,256,8,32,8192,825.008428288,89311210,20502544,825.008428288,2483.6244983430647
287,gfish,6,512,8,64,128,8.715938304,185659882,48310288,8.715938304,26.188523420642206
288,gfish,6,512,8,64,256,17.550756864,185659882,48310288,17.550756864,52.732544239145604
